car_id,brand,fueltype,carbody,wheelbase,carlength,carwidth,carheight,enginesize,boreratio,stroke,horsepower,peakrpm,citympg,highwaympg,price
114,peugeot,gas,wagon,114.2,198.9,68.4,56.7,120,3.46,2.19,95,5000,19,24,16695
115,peugeot,diesel,wagon,114.2,198.9,68.4,58.7,152,3.7,3.52,95,4150,25,25,17075
116,peugeot,gas,sedan,107.9,186.7,68.4,56.7,120,3.46,3.19,97,5000,19,24,16630
117,peugeot,diesel,sedan,107.9,186.7,68.4,56.7,152,3.7,3.52,95,4150,28,33,17950
118,peugeot,gas,sedan,108,186.7,68.3,56,134,3.61,3.21,142,5600,18,24,18150
119,plymouth,gas,hatchback,93.7,157.3,63.8,50.8,90,2.97,3.23,68,5500,37,41,5572
120,plymouth,gas,hatchback,93.7,157.3,63.8,50.8,98,3.03,3.39,102,5500,24,30,7957
121,plymouth,gas,hatchback,93.7,157.3,63.8,50.6,90,2.97,3.23,68,5500,31,38,6229
122,plymouth,gas,sedan,93.7,167.3,63.8,50.8,90,2.97,3.23,68,5500,31,38,6692
123,plymouth,gas,sedan,93.7,167.3,63.8,50.8,98,2.97,3.23,68,5500,31,38,7609
124,plymouth,gas,wagon,103.3,174.6,64.6,59.8,122,3.35,3.46,88,5000,24,30,8921
125,plymouth,gas,hatchback,95.9,173.2,66.3,50.2,156,3.59,3.86,145,5000,19,24,12764
126,porsche,gas,hatchback,94.5,168.9,68.3,50.2,151,3.94,3.11,143,5500,19,27,22018
127,porsche,gas,hardtop,89.5,168.9,65,51.6,194,3.74,2.9,207,5900,17,25,32528
128,porsche,gas,hardtop,89.5,168.9,65,51.6,194,3.74,2.9,207,5900,17,25,34028
129,porsche,gas,convertible,89.5,168.9,65,51.6,194,3.74,2.9,207,5900,17,25,37028
130,porsche,gas,hatchback,98.4,175.7,72.3,50.5,203,3.94,3.11,288,5750,17,28,31400.5
131,renault,gas,wagon,96.1,181.5,66.5,55.2,132,3.46,3.9,90,5100,23,31,9295
132,renault,gas,hatchback,96.1,176.8,66.6,50.5,132,3.46,3.9,90,5100,23,31,9895
133,saab,gas,hatchback,99.1,186.6,66.5,56.1,121,3.54,3.07,110,5250,21,28,11850
134,saab,gas,sedan,99.1,186.6,66.5,56.1,121,3.54,3.07,110,5250,21,28,12170
135,saab,gas,hatchback,99.1,186.6,66.5,56.1,121,2.54,2.07,110,5250,21,28,15040
136,saab,gas,sedan,99.1,186.6,66.5,56.1,121,3.54,3.07,110,5250,21,28,15510
137,saab,gas,hatchback,99.1,186.6,66.5,56.1,121,3.54,3.07,160,5500,19,26,18150
138,saab,gas,sedan,99.1,186.6,66.5,56.1,121,3.54,3.07,160,5500,19,26,18620
139,subaru,gas,hatchback,93.7,156.9,63.4,53.7,97,3.62,2.36,69,4900,31,36,5118
140,subaru,gas,hatchback,93.7,157.9,63.6,53.7,108,3.62,2.64,73,4400,26,31,7053
141,subaru,gas,hatchback,93.3,157.3,63.8,55.7,108,3.62,2.64,73,4400,26,31,7603
142,subaru,gas,sedan,97.2,172,65.4,52.5,108,3.62,2.64,82,4800,32,37,7126
143,subaru,gas,sedan,97.2,172,65.4,52.5,108,3.62,2.64,82,4400,28,33,7775
144,subaru,gas,sedan,97.2,172,65.4,52.5,108,3.62,2.64,94,5200,26,32,9960
145,subaru,gas,sedan,97,172,65.4,54.3,108,3.62,2.64,82,4800,24,25,9233
146,subaru,gas,sedan,97,172,65.4,54.3,108,3.62,2.64,111,4800,24,29,11259
147,subaru,gas,wagon,97,173.5,65.4,53,108,3.62,2.64,82,4800,28,32,7463
148,subaru,gas,wagon,97,173.5,65.4,53,108,3.62,2.64,94,5200,25,31,10198
149,subaru,gas,wagon,96.9,173.6,65.4,54.9,108,3.62,2.64,82,4800,23,29,8013
150,subaru,gas,wagon,96.9,173.6,65.4,54.9,108,3.62,2.64,111,4800,23,23,11694
151,toyota,gas,hatchback,95.7,158.7,63.6,54.5,92,3.05,3.03,62,4800,35,39,5348
152,toyota,gas,hatchback,95.7,158.7,63.6,54.5,92,3.05,3.03,62,4800,31,38,6338
153,toyota,gas,hatchback,95.7,158.7,63.6,54.5,92,3.05,3.03,62,4800,31,38,6488
154,toyota,gas,wagon,95.7,169.7,63.6,59.1,92,3.05,3.03,62,4800,31,37,6918
155,toyota,gas,wagon,95.7,169.7,63.6,59.1,92,3.05,3.03,62,4800,27,32,7898
156,toyota,gas,wagon,95.7,169.7,63.6,59.1,92,3.05,3.03,62,4800,27,32,8778
157,toyota,gas,sedan,95.7,166.3,64.4,53,98,3.19,3.03,70,4800,30,37,6938
158,toyota,gas,hatchback,95.7,166.3,64.4,52.8,98,3.19,3.03,70,4800,30,37,7198
159,toyota,diesel,sedan,95.7,166.3,64.4,53,110,3.27,3.35,56,4500,34,36,7898
160,toyota,diesel,hatchback,95.7,166.3,64.4,52.8,110,3.27,3.35,56,4500,38,47,7788
161,toyota,gas,sedan,95.7,166.3,64.4,53,98,3.19,3.03,70,4800,38,47,7738
162,toyota,gas,hatchback,95.7,166.3,64.4,52.8,98,3.19,3.03,70,4800,28,34,8358
163,toyota,gas,sedan,95.7,166.3,64.4,52.8,98,3.19,3.03,70,4800,28,34,9258
164,toyota,gas,sedan,94.5,168.7,64,52.6,98,3.19,3.03,70,4800,29,34,8058
165,toyota,gas,hatchback,94.5,168.7,64,52.6,98,3.19,3.03,70,4800,29,34,8238
166,toyota,gas,sedan,94.5,168.7,64,52.6,98,3.24,3.08,112,6600,26,29,9298
167,toyota,gas,hatchback,94.5,168.7,64,52.6,98,3.24,3.08,112,6600,26,29,9538
168,toyota,gas,hardtop,98.4,176.2,65.6,52,146,3.62,3.5,116,4800,24,30,8449
169,toyota,gas,hardtop,98.4,176.2,65.6,52,146,3.62,3.5,116,4800,24,30,9639
170,toyota,gas,hatchback,98.4,176.2,65.6,52,146,3.62,3.5,116,4800,24,30,9989
171,toyota,gas,hardtop,98.4,176.2,65.6,52,146,3.62,3.5,116,4800,24,30,11199
172,toyota,gas,hatchback,98.4,176.2,65.6,52,146,3.62,3.5,116,4800,24,30,11549
173,toyota,gas,convertible,98.4,176.2,65.6,53,146,3.62,3.5,116,4800,24,30,17669
174,toyota,gas,sedan,102.4,175.6,66.5,54.9,122,3.31,3.54,92,4200,29,34,8948
175,toyota,diesel,sedan,102.4,175.6,66.5,54.9,110,3.27,3.35,73,4500,30,33,10698
176,toyota,gas,hatchback,102.4,175.6,66.5,53.9,122,3.31,3.54,92,4200,27,32,9988
177,toyota,gas,sedan,102.4,175.6,66.5,54.9,122,3.31,3.54,92,4200,27,32,10898
178,toyota,gas,hatchback,102.4,175.6,66.5,53.9,122,3.31,3.54,92,4200,27,32,11248
179,toyota,gas,hatchback,102.9,183.5,67.7,52,171,3.27,3.35,161,5200,20,24,16558
180,toyota,gas,hatchback,102.9,183.5,67.7,52,171,3.27,3.35,161,5200,19,24,15998
181,toyota,gas,sedan,104.5,187.8,66.5,54.1,171,3.27,3.35,156,5200,20,24,15690
182,toyota,gas,wagon,104.5,187.8,66.5,54.1,161,3.27,3.35,156,5200,19,24,15750
183,volkswagen,diesel,sedan,97.3,171.7,65.5,55.7,97,3.01,3.4,52,4800,37,46,7775
184,volkswagen,gas,sedan,97.3,171.7,65.5,55.7,109,3.19,3.4,85,5250,27,34,7975
185,volkswagen,diesel,sedan,97.3,171.7,65.5,55.7,97,3.01,3.4,52,4800,37,46,7995
186,volkswagen,gas,sedan,97.3,171.7,65.5,55.7,109,3.19,3.4,85,5250,27,34,8195
187,volkswagen,gas,sedan,97.3,171.7,65.5,55.7,109,3.19,3.4,85,5250,27,34,8495
188,volkswagen,diesel,sedan,97.3,171.7,65.5,55.7,97,3.01,3.4,68,4500,37,42,9495
189,volkswagen,gas,sedan,97.3,171.7,65.5,55.7,109,3.19,3.4,100,5500,26,32,9995
190,volkswagen,gas,convertible,94.5,159.3,64.2,55.6,109,3.19,3.4,90,5500,24,29,11595
191,volkswagen,gas,hatchback,94.5,165.7,64,51.4,109,3.19,3.4,90,5500,24,29,9980
192,volkswagen,gas,sedan,100.4,180.2,66.9,55.1,136,3.19,3.4,110,5500,19,24,13295
193,volkswagen,diesel,sedan,100.4,180.2,66.9,55.1,97,3.01,3.4,68,4500,33,38,13845
194,volkswagen,gas,wagon,100.4,183.1,66.9,55.1,109,3.19,3.4,88,5500,25,31,12290
195,volvo,gas,sedan,104.3,188.8,67.2,56.2,141,3.78,3.15,114,5400,23,28,12940
196,volvo,gas,wagon,104.3,188.8,67.2,57.5,141,3.78,3.15,114,5400,23,28,13415
197,volvo,gas,sedan,104.3,188.8,67.2,56.2,141,3.78,3.15,114,5400,24,28,15985
198,volvo,gas,wagon,104.3,188.8,67.2,57.5,141,3.78,3.15,114,5400,24,28,16515
199,volvo,gas,sedan,104.3,188.8,67.2,56.2,130,3.62,3.15,162,5100,17,22,18420
200,volvo,gas,wagon,104.3,188.8,67.2,57.5,130,3.62,3.15,162,5100,17,22,18950
201,volvo,gas,sedan,109.1,188.8,68.9,55.5,141,3.78,3.15,114,5400,23,28,16845
202,volvo,gas,sedan,109.1,188.8,68.8,55.5,141,3.78,3.15,160,5300,19,25,19045
203,volvo,gas,sedan,109.1,188.8,68.9,55.5,173,3.58,2.87,134,5500,18,23,21485
204,volvo,diesel,sedan,109.1,188.8,68.9,55.5,145,3.01,3.4,106,4800,26,27,22470
205,volvo,gas,sedan,109.1,188.8,68.9,55.5,141,3.78,3.15,114,5400,19,25,22625
